Date,Open,High,Low,Close,Volume,Adj Close
2008-12-31,32.50,33.919998,32.209999,33.880001,4366200,32.239361
2008-12-30,33.00,33.049999,32.310001,33.00,4096000,31.401974
2008-12-29,33.169998,33.509998,32.450001,33.029999,5369300,31.43052
2008-12-26,30.959999,32.52,30.18,32.25,2961500,30.688293
2008-12-24,30.780001,31.00,29.799999,30.59,1289200,29.108679
2008-12-23,29.92,30.969999,29.58,30.74,3648400,29.251415
2008-12-22,31.290001,31.809999,29.290001,29.83,4573100,28.385482
2008-12-19,29.219999,30.620001,28.959999,30.58,9190300,29.099163
2008-12-18,31.82,32.040001,29.07,29.84,9491900,28.394998
2008-12-17,32.779999,33.869999,31.74,32.110001,10521200,30.555073
2008-12-16,32.34,32.419998,29.870001,32.34,11269900,30.773935
2008-12-15,29.65,30.85,29.27,30.34,7198800,28.870785
2008-12-12,27.52,29.16,27.139999,28.67,7272700,27.281655
2008-12-11,28.92,29.91,27.370001,28.02,11312400,26.663131
2008-12-10,27.09,28.450001,26.98,28.129999,10461900,26.767803
2008-12-09,24.98,26.17,24.52,25.41,5868300,24.17952
2008-12-08,25.00,25.889999,24.610001,25.26,7784000,24.036784
2008-12-05,22.889999,23.42,21.200001,23.23,7252900,22.105086
2008-12-04,23.90,24.780001,22.90,23.42,8322800,22.285886
2008-12-03,23.65,24.82,23.40,24.059999,6129200,22.894894
2008-12-02,23.889999,24.719999,23.700001,24.690001,8226600,23.494387
2008-12-01,24.780001,24.950001,22.50,22.50,8826700,21.410437
2008-11-28,26.33,26.709999,25.52,26.57,2678100,25.283347
2008-11-26,24.92,26.209999,24.41,26.110001,9035800,24.845623
2008-11-25,25.59,25.690001,23.65,25.690001,11000600,24.445962
2008-11-24,24.50,25.950001,24.24,24.629999,11438000,23.437291
2008-11-21,20.25,23.139999,19.67,23.030001,8971200,21.914772
2008-11-20,18.610001,19.450001,17.59,18.200001,7875900,17.318665
2008-11-19,19.950001,21.07,18.60,18.610001,9968300,17.708811
2008-11-18,19.879999,20.450001,19.129999,19.559999,6385100,18.612806
2008-11-17,20.35,20.93,19.370001,19.66,5998800,18.707964
2008-11-14,21.84,22.629999,20.459999,20.549999,6590800,19.554865
2008-11-13,19.60,21.75,17.790001,21.66,9645400,20.611114
2008-11-12,20.99,21.25,19.40,19.40,6160100,18.460554
2008-11-11,22.41,22.41,20.969999,21.639999,5562700,20.592082
2008-11-10,23.290001,23.709999,22.370001,23.15,4108000,22.02896
2008-11-07,21.73,22.83,21.209999,21.75,6304100,20.696756
2008-11-06,23.73,24.290001,21.01,21.93,9625700,20.86804
2008-11-05,23.60,24.719999,22.98,23.50,6821500,22.362012
2008-11-04,22.360001,24.42,22.219999,23.90,10658000,22.742642
2008-11-03,20.969999,22.049999,20.969999,21.01,5729300,19.992591
2008-10-31,21.379999,21.879999,20.780001,20.950001,4134300,19.935497
2008-10-30,21.889999,22.450001,19.950001,21.700001,6972900,20.649178
2008-10-29,19.17,21.309999,18.91,20.860001,8772700,19.849855
2008-10-28,17.16,19.309999,16.42,18.690001,5992000,17.784937
2008-10-27,18.00,18.34,16.33,16.370001,7306100,15.577283
2008-10-24,15.84,18.690001,15.83,17.799999,8507900,16.938034
2008-10-23,18.26,19.530001,16.799999,17.41,9348900,16.56692
2008-10-22,20.90,21.110001,18.110001,18.49,7410000,17.594621
2008-10-21,22.459999,23.200001,21.76,21.889999,4833100,20.829976
2008-10-20,22.32,24.190001,22.059999,24.190001,3919300,23.018599
2008-10-17,21.370001,24.209999,20.969999,21.690001,6352300,20.639662
2008-10-16,24.76,25.08,21.549999,22.200001,9989200,21.124965
2008-10-15,27.35,27.43,24.360001,24.360001,6690500,23.180367
2008-10-14,27.66,28.809999,26.84,27.389999,6050700,26.063638
2008-10-13,27.379999,28.469999,25.02,26.799999,6280300,25.502209
2008-10-10,30.059999,30.73,24.68,26.34,11151400,25.064485
2008-10-09,31.40,31.40,29.41,30.25,7924500,28.785143
2008-10-08,28.66,31.65,28.23,31.26,9537600,29.746234
2008-10-07,28.82,29.200001,26.93,27.379999,7163300,26.054122
2008-10-06,30.219999,30.629999,25.299999,27.90,9370300,26.548942
2008-10-03,28.75,30.940001,28.540001,29.049999,5121300,27.643252
2008-10-02,33.07,33.07,28.469999,28.950001,9200800,27.548096
2008-10-01,34.189999,35.490002,33.650002,33.77,5119600,32.134688
2008-09-30,33.990002,34.580002,33.400002,33.790001,3037200,32.153719
2008-09-29,35.290001,36.169998,33.540001,34.00,5882100,32.353549
2008-09-26,36.919998,37.82,35.240002,35.830002,4170900,34.094933
2008-09-25,37.150002,37.650002,36.029999,36.400002,3710600,34.637331
2008-09-24,37.779999,38.07,36.939999,37.389999,3309300,35.579388
2008-09-23,38.240002,38.240002,36.459999,37.18,5181200,35.379558
2008-09-22,36.18,38.73,36.16,38.09,8145700,36.245491
2008-09-19,33.810001,35.41,32.900002,35.200001,6476900,33.49544
2008-09-18,35.52,36.139999,33.259998,34.200001,11771700,32.543865
2008-09-17,30.889999,34.93,30.110001,34.099998,12870300,32.448705
2008-09-16,29.49,30.73,28.610001,30.549999,6140300,29.070615
2008-09-15,31.309999,32.00,29.74,30.33,6408600,28.861269
2008-09-12,29.700001,31.690001,29.00,31.25,10047700,29.736718
2008-09-11,28.799999,29.25,27.35,28.200001,7511200,26.834415
2008-09-10,28.58,29.10,27.43,29.08,8176700,27.6718
2008-09-09,30.15,30.15,27.889999,28.10,10857500,26.739257
2008-09-08,33.599998,33.599998,30.940001,30.940001,5001400,29.44173
2008-09-05,32.970001,33.299999,31.65,32.650002,4943900,31.068925
2008-09-04,34.09,34.389999,32.16,32.18,6152400,30.621683
2008-09-03,34.91,35.50,33.290001,33.57,4802900,31.944372
2008-09-02,35.650002,35.68,34.91,35.25,3745200,33.543018
2008-08-29,38.220001,38.220001,37.349998,37.639999,1674800,35.817282
2008-08-28,38.740002,38.880001,37.349998,37.919998,2831400,36.083722
2008-08-27,37.580002,38.200001,37.369999,37.799999,2169700,35.969534
2008-08-26,36.700001,37.66,36.68,37.02,2737200,35.227306
2008-08-25,37.32,37.939999,36.799999,37.049999,2120700,35.255852
2008-08-22,37.889999,38.040001,36.889999,37.490002,2740600,35.674548
2008-08-21,37.580002,38.50,37.450001,38.299999,5749500,36.445321
2008-08-20,36.150002,36.790001,35.459999,36.18,3062000,34.427983
2008-08-19,34.889999,36.509998,34.700001,36.139999,4109900,34.389919
2008-08-18,35.169998,35.810001,35.00,35.110001,4618800,33.409798
2008-08-15,35.00,35.220001,34.259998,34.459999,6607700,32.791273
2008-08-14,37.16,37.669998,35.830002,35.869999,3686600,34.132994
2008-08-13,35.84,37.66,35.799999,37.549999,6282300,35.73164
2008-08-12,35.02,35.75,34.380001,35.369999,6254000,33.657206
2008-08-11,36.52,36.759998,33.860001,34.43,9889200,32.762727
2008-08-08,38.00,38.00,36.279999,36.299999,5421900,34.542171
2008-08-07,39.439999,39.790001,38.560001,38.919998,2572300,37.035297
