Date,Open,High,Low,Close,Volume,Adj Close
2009-12-31,46.459999,46.700001,46.040001,46.209999,7475300,44.079792
2009-12-30,46.009998,46.200001,45.59,45.869999,6923800,43.755465
2009-12-29,46.93,47.290001,46.299999,46.43,7193000,44.289651
2009-12-28,47.400002,47.59,46.490002,46.869999,7292400,44.709366
2009-12-24,47.549999,47.57,46.959999,46.959999,4523300,44.795218
2009-12-23,45.799999,47.380001,45.75,46.93,12614200,44.766602
2009-12-22,45.50,45.959999,44.799999,45.509998,13940400,43.306176
2009-12-21,46.439999,46.599998,44.799999,45.41,12100300,43.21102
2009-12-18,45.549999,46.299999,44.98,46.290001,15884200,44.048407
2009-12-17,47.040001,47.290001,45.169998,45.200001,19775800,43.01119
2009-12-16,48.099998,48.740002,47.720001,48.209999,12141300,45.875429
2009-12-15,48.23,48.639999,47.330002,47.48,10858400,45.18078
2009-12-14,48.450001,48.540001,47.560001,48.470001,8234300,46.122841
2009-12-11,48.84,49.09,47.509998,47.82,12582000,45.504315
2009-12-10,49.259998,49.419998,48.279999,48.740002,10748700,46.379766
2009-12-09,48.040001,49.279999,47.630001,48.790001,18644400,46.427344
2009-12-08,49.02,49.080002,47.419998,47.75,21027900,45.437705
2009-12-07,49.389999,50.75,48.799999,49.759998,21137500,47.350369
2009-12-04,52.50,52.57,49.48,50.689999,31698100,48.235334
2009-12-03,54.220001,54.599998,53.07,53.529999,15821400,50.937808
2009-12-02,54.470001,55.400002,54.209999,54.779999,17780100,52.127276
2009-12-01,52.599998,54.220001,52.50,53.68,14080400,51.080545
2009-11-30,50.639999,51.59,50.380001,51.110001,14052600,48.634998
2009-11-27,50.290001,51.73,49.41,50.82,10088300,48.35904
2009-11-25,52.169998,52.959999,51.849998,52.830002,10383300,50.271708
2009-11-24,51.880001,51.959999,50.540001,51.450001,14639200,48.958534
2009-11-23,52.34,53.110001,51.389999,51.68,13656800,49.177395
2009-11-20,50.27,50.91,49.790001,50.82,12129100,48.35904
2009-11-19,50.290001,51.349998,49.27,51.099998,12795700,48.62548
2009-11-18,52.00,52.43,50.560001,50.990002,11689900,48.52081
2009-11-17,50.470001,51.59,50.18,51.529999,10591000,49.034658
2009-11-16,50.669998,51.889999,50.549999,51.34,15491700,48.85386
2009-11-13,48.439999,50.029999,48.32,49.779999,13422500,47.369401
2009-11-12,49.450001,49.900002,48.209999,48.439999,14504200,46.094291
2009-11-11,50.869999,50.889999,49.650002,49.900002,12321100,47.483593
2009-11-10,49.07,49.91,48.400002,49.66,13192100,47.255213
2009-11-09,49.150002,50.200001,49.049999,49.279999,15186300,46.893614
2009-11-06,47.00,48.389999,46.759998,47.619999,14085700,45.314
2009-11-05,46.650002,47.00,46.040001,46.720001,11448800,44.457584
2009-11-04,46.639999,47.330002,45.720001,46.529999,21205200,44.276783
2009-11-03,42.400002,46.189999,42.200001,46.18,22137000,43.943733
2009-11-02,43.130001,44.25,41.810001,42.880001,16954900,40.803536
2009-10-30,43.50,43.529999,40.919998,42.369999,17395900,40.318231
2009-10-29,42.549999,44.349998,42.400002,43.799999,13254700,41.678983
2009-10-28,43.900002,44.41,41.610001,41.869999,18057500,39.842443
2009-10-27,44.41,44.740002,43.43,44.470001,12606500,42.316541
2009-10-26,46.790001,47.400002,44.380001,44.689999,14361100,42.525885
2009-10-23,47.810001,47.919998,46.360001,46.689999,9369900,44.429035
2009-10-22,47.060001,47.52,46.34,46.990002,10834100,44.71451
2009-10-21,47.029999,49.00,47.009998,47.389999,12517900,45.095138
2009-10-20,48.720001,48.73,46.810001,47.50,8938200,45.199812
2009-10-19,48.52,48.84,47.549999,48.529999,8294700,46.179933
2009-10-16,47.98,48.860001,47.599998,48.380001,12171200,46.037199
2009-10-15,48.150002,48.860001,47.98,48.16,9913900,45.827851
2009-10-14,49.599998,49.73,48.98,49.130001,8690600,46.75088
2009-10-13,48.810001,49.740002,48.009998,49.189999,11942300,46.807972
2009-10-12,48.939999,49.400002,47.880001,48.279999,7120900,45.942039
2009-10-09,48.290001,48.759998,47.630001,48.290001,9855300,45.951557
2009-10-08,48.540001,49.52,47.689999,48.689999,17081400,46.332185
2009-10-07,47.650002,48.060001,46.849998,47.900002,11827700,45.580443
2009-10-06,46.580002,48.07,46.349998,47.599998,17726600,45.294968
2009-10-05,43.099998,44.830002,43.099998,44.560001,7808100,42.402182
2009-10-02,42.639999,44.220001,42.279999,42.759998,13271500,40.689345
2009-10-01,45.290001,45.369999,42.810001,43.060001,11245400,40.97482
2009-09-30,45.400002,45.66,43.830002,45.290001,10604900,43.096832
2009-09-29,43.25,44.740002,43.099998,44.459999,7640600,42.307023
2009-09-28,43.290001,44.380001,43.00,43.040001,5793200,40.955788
2009-09-25,43.27,43.740002,42.669998,43.07,10547000,40.984334
2009-09-24,45.34,45.470001,43.25,43.740002,11410300,41.621891
2009-09-23,46.110001,46.360001,44.73,44.84,12289900,42.668622
2009-09-22,46.73,46.84,45.869999,46.259998,9360600,44.019857
2009-09-21,44.50,45.360001,43.50,45.150002,16952900,42.963612
2009-09-18,47.25,47.299999,45.369999,45.919998,13002600,43.696321
2009-09-17,47.799999,48.400002,46.07,47.779999,18540200,45.466251
2009-09-16,48.049999,48.360001,47.639999,48.00,16299400,45.675599
2009-09-15,45.34,47.00,45.34,46.849998,13140000,44.581286
2009-09-14,45.240002,46.00,45.040001,45.389999,12142500,43.191988
2009-09-11,46.669998,47.290001,45.669998,46.09,16190800,43.858091
2009-09-10,43.790001,45.799999,43.599998,45.540001,16575600,43.334726
2009-09-09,45.220001,45.57,43.470001,44.119999,15785300,41.983487
2009-09-08,46.98,47.450001,45.029999,45.110001,21956700,42.925548
2009-09-04,44.419998,45.389999,43.900002,45.02,13293400,42.839906
2009-09-03,43.150002,45.18,42.700001,44.650002,23524600,42.487824
2009-09-02,39.400002,42.639999,39.18,42.48,17974000,40.422905
2009-09-01,39.099998,39.77,38.34,38.790001,6372400,36.911594
2009-08-31,39.389999,39.57,39.080002,39.509998,4245900,37.596726
2009-08-28,40.209999,40.630001,39.77,40.18,5624400,38.234283
2009-08-27,38.860001,39.740002,38.060001,39.57,4836700,37.653822
2009-08-26,39.18,39.18,38.43,38.82,4202000,36.94014
2009-08-25,39.689999,39.939999,39.040001,39.240002,4862600,37.339804
2009-08-24,39.400002,40.00,38.790001,38.889999,5324000,37.00675
2009-08-21,39.380001,39.91,39.099998,39.299999,5600600,37.396896
2009-08-20,37.990002,38.860001,37.939999,38.610001,2748200,36.740311
